Brief Terms of Reference / Roles and Responsibilities:,"The Risk Policy & Monitoring Committee (RPMC) has been formed as per the guidelines of Reserve Bank of India on Asset Liability Management / Risk Management Systems. The RPMC is a Board level committee, which supports the Board by supervising the implementation of the risk strategy. It guides the development of policies, procedures and"
,"systems for managing risk. It ensures that these are adequate and appropriate to changing business conditions, the structure and needs of the Bank and the risk appetite of the Bank."
,"The RPMC monitors the compliance of risk parameters/aggregate exposures with the appetite set by the Board. It ensures that frameworks are established for assessing and managing various risks faced by the Bank, systems are developed to relate risk to the Bank's capital level and methods are in place for monitoring compliance with internal risk management policies and processes. The Committee ensures that the Bank has a suitable framework for Risk Management and oversees the implementation of the risk management policy."
,"Further, the functions of the Committee also include review of the enterprise-wide risk frameworks viz. Risk Appetite framework (RAF), Internal Capital Adequacy Assessment Process (ICAAP), stress testing framework, etc. The Committee also reviews the cyber security framework in the Bank from time to time."
,"Further, as per RBI guidelines, the Chief Risk Officer of the Bank regularly interacts with the members of the Committee without the presence of management at the meetings of the Committee."
Composition:,"Mrs. Lily Vadera (Chairperson), Mr. Sandeep Parekh, Mr. M.D. Ranganath, Mrs. Renu Karnad, Mr. Sashidhar Jagdishan, Mr. Sanjiv Sachar and Mr. Atanu Chakraborty."
,Details of re-constitution:
,". Mr. Atanu Chakraborty was inducted as member on the Committee with effect from June 9, 2021. . Mr. Srikanth Nadhamuni ceased to be a Chairman and member of the Committee with effect from September 17, 2021."
,". Mr. Sandeep Parekh was inducted as a member of the Committee with effect from September 17, 2021."
,". Mrs. Lily Vadera was inducted as Chairperson and member of the Committee with effect from January 15, 2022."
