Brief Terms of Reference / Roles and Responsibilities:,"a) Overseeing the Bank's financial reporting process and disclosure of financial information to ensure that the financial statement is correct, sufficient and credible;"
,b) Recommending appointment and removal of external auditors and fixing of their fees;
,"c) Reviewing with management the annual financial statements and auditor's report before submission to the Board with special emphasis on accounting policies and practices, compliance with accounting standards, disclosure of related party transactions and other legal requirements relating to financial statements;"
,"d) Reviewing the adequacy of the Audit and Compliance functions, including their policies, procedures, techniques and other regulatory requirements; and"
,"e) Any other terms of reference as may be included from time to time in the Companies Act, 2013, SEBI Listing Regulations, including any amendments / re-enactments thereof from time to time."
,The Charter of the Audit Committee has been formulated in accordance with certain United States regulatory standards as the Bank's American Depository Receipts are also listed on the New York Stock Exchange.
Composition:,"Mr. M. D. Ranganath (Chairman), Mr. Umesh Chandra Sarangi and Mr. Sanjiv Sachar, all of whom are independent directors. Mr. M. D. Ranganath and Mr. Sanjiv Sachar are the members of Audit Committee having financial expertise."
,"Mr. Santosh Haldankar, Company Secretary of the Bank, acts as the Secretary of the Committee."
Meetings:,The Committee met sixteen (16) times during the year on:
,"April 6, 2021, April 16, 2021, May 19, 2021, June 1, 2021, June 17, 2021, June 18, 2021, July 16, 2021, August 12, 2021, September 16, 2021, October 16, 2021, November 25, 2021, December 7, 2021, January 14, 2022, February 17, 2022, March 15, 2022 and March 28, 2022."
