Brief Terms of Reference / Roles and Responsibilities:,"The Bank has in place an IT Strategy Committee to look into various technology related aspects. The functions of the Committee are to formulate IT strategy and related policy documents, ensure that IT strategy is aligned with business strategy, review IT risks, etc."
,The terms of reference of the Committee are:
,. Approving IT strategy and related policy documents and reviewing the same from time to time.
,· Ensuring that the management has put an effective strategic planning process in place.
,· Approving the Bank's IT strategy and budget to ensure it aligns with the business needs.
,· Approving re-allocation of resources within IT to facilitate meeting priorities and business needs.
,· Reviewing and approving IT implementation plans.
Composition:,"This Committee consists of an external IT consultant, Prof. H. Krishmurthy in addition to the Board members viz. Mr. M.D. Ranganath, Mr. Sashidhar Jagdishan, Mr. Atanu Chakraborty and Dr. (Mrs.) Sunita Maheshwari"
,Details of re-constitution:
,". Mr. Atanu Chakraborty and Mr. Sashidhar Jagdishan were inducted as members of the Committee with effect from June 9, 2021."
,". Dr. (Mrs.) Sunita Maheshwari was inducted as member on the Committee with effect from September 17, 2021. . Mr. Srikanth Nadhamuni ceased to be a member of the Committee pursuant to his resignation as director of the Bank with effect from February 18, 2022."
Meetings:,The Committee met nine (9) times during the year on:
,"April 8, 2021, May 7, 2021, May 18, 2021, July 14, 2021, August 11, 2021, October 20, 2021, November 24, 2021, January 14, 2022 and February 15, 2022."
